id,name,fullName,strength,speed,durability,power,combat,race,height/0,height/1,weight/0,weight/1,eyeColor,hairColor,publisher
1,A-Bomb,Richard Milhouse Jones,100,17,80,24,64,Human,6'8,203 cm,980 lb,441 kg,Yellow,No Hair,Marvel Comics
2,Abe Sapien,Abraham Sapien,28,35,65,100,85,Icthyo Sapien,6'3,191 cm,145 lb,65 kg,Blue,No Hair,Dark Horse Comics
3,Abin Sur,,90,53,64,99,65,Ungaran,6'1,185 cm,200 lb,90 kg,Blue,No Hair,DC Comics
4,Abomination,Emil Blonsky,80,53,90,62,95,Human / Radiation,6'8,203 cm,980 lb,441 kg,Green,No Hair,Marvel Comics
5,Abraxas,Abraxas,63,83,100,100,55,Cosmic Entity,-,0 cm,- lb,0 kg,Blue,Black,Marvel Comics
6,Absorbing Man,Carl Creel,80,25,100,98,64,Human,6'4,193 cm,270 lb,122 kg,Blue,No Hair,Marvel Comics
7,Adam Monroe,,10,12,100,100,64,,-,0 cm,- lb,0 kg,Blue,Blond,NBC - Heroes
8,Adam Strange,Adam Strange,10,33,40,37,50,Human,6'1,185 cm,195 lb,88 kg,Blue,Blond,DC Comics
10,Agent Bob,Bob,8,13,5,5,20,Human,5'10,178 cm,181 lb,81 kg,Brown,Brown,Marvel Comics
11,Agent Zero,Christoph Nord,28,38,80,72,95,,6'3,191 cm,230 lb,104 kg,-,-,Marvel Comics
12,Air-Walker,Gabriel Lan,85,100,85,100,40,,6'2,188 cm,240 lb,108 kg,Blue,White,Marvel Comics
13,Ajax,Francis,48,35,80,34,55,Cyborg,6'4,193 cm,200 lb,90 kg,Brown,Black,Marvel Comics
14,Alan Scott,Alan Ladd Wellington Scott,80,23,90,100,32,,5'11,180 cm,201 lb,90 kg,Blue,Blond,DC Comics
15,Alex Mercer,Alexander J. Mercer,80,42,90,100,50,Human,-,0 cm,- lb,0 kg,-,-,Wildstorm
17,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,10,17,10,7,55,Human,5'10,178 cm,160 lb,72 kg,Blue,Black,DC Comics
18,Alien,Xenomorph,28,42,90,57,60,Xenomorph XX121,8'0,244 cm,375 lb,169 kg,-,No Hair,Dark Horse Comics
20,Amazo,,100,83,100,100,100,Android,8'5,257 cm,385 lb,173 kg,Red,-,DC Comics
23,Angel,Liam,30,58,90,100,75,Vampire,-,0 cm,- lb,0 kg,-,-,Dark Horse Comics
24,Angel,Warren Kenneth Worthington III,13,46,64,28,42,,6'0,183 cm,150 lb,68 kg,Blue,Blond,Archangel
25,Angel Dust,Christina,55,23,42,17,30,Mutant,5'5,165 cm,126 lb,57 kg,Yellow,Black,Marvel Comics
26,Angel Salvadore,Angel Salvadore Bohusk,10,28,28,56,60,,5'4,163 cm,121 lb,54 kg,Brown,Black,Tempest
28,Animal Man,Bernhard Baker,48,47,85,73,80,Human,6'0,183 cm,185 lb,83 kg,Blue,Blond,DC Comics
29,Annihilus,Annihilus,80,47,56,59,64,,5'11,180 cm,200 lb,90 kg,Green,No Hair,Marvel Comics
30,Ant-Man,Hank Pym,18,23,28,32,32,Human,6'11,211 cm,270 lb,122 kg,Blue,Blond,Giant-Man
31,Ant-Man II,Scott Lang,18,17,40,53,30,Human,6'0,183 cm,190 lb,86 kg,Blue,Blond,Marvel Comics
32,Anti-Monitor,,100,50,100,100,90,God / Eternal,200,61.0 meters,- lb,0 kg,Yellow,No Hair,DC Comics
34,Anti-Venom,Eddie Brock,60,65,90,96,84,Symbiote,7'6,229 cm,795 lb,358 kg,Blue,Blond,Toxin
35,Apocalypse,En Sabah Nur,100,33,100,100,60,Mutant,7'0,213 cm,300 lb,135 kg,Red,Black,Marvel Comics
36,Aquababy,"Arthur Curry, Jr.",16,12,14,37,14,,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
37,Aqualad,Garth,44,42,75,89,60,Atlantean,5'10,178 cm,235 lb,106 kg,Blue,Black,DC Comics
38,Aquaman,Orin,85,79,80,100,80,Atlantean,6'1,185 cm,325 lb,146 kg,Blue,Blond,DC Comics
39,Arachne,Julia Carpenter,48,50,70,71,70,Human,5'9,175 cm,140 lb,63 kg,Blue,Blond,Marvel Comics
40,Archangel,Warren Kenneth Worthington III,13,58,64,35,42,Mutant,6'0,183 cm,150 lb,68 kg,Blue,Blond,Angel
41,Arclight,Philippa Sontag,63,23,42,52,70,,5'8,173 cm,126 lb,57 kg,Violet,Purple,Marvel Comics
42,Ardina,Ardina,100,100,80,100,25,Alien,6'4,193 cm,218 lb,98 kg,White,Orange,Marvel Comics
43,Ares,,82,35,80,84,101,,6'1,185 cm,600 lb,270 kg,Brown,Brown,Marvel Comics
44,Ariel,Ariel,10,12,14,94,28,,5'5,165 cm,130 lb,59 kg,Purple,Pink,Marvel Comics
45,Armor,Hisako Ichiki,63,12,80,55,54,,5'4,163 cm,112 lb,50 kg,Black,Black,Marvel Comics
48,Atlas,Erik Josten,80,25,100,98,50,Mutant,6'0,183 cm,225 lb,101 kg,Brown,Red,Goliath
49,Atlas,,100,42,100,27,80,God / Eternal,6'6,198 cm,280 lb,126 kg,Blue,Brown,DC Comics
52,Atom Girl,Salu Digby,10,23,28,38,42,,5'6,168 cm,120 lb,54 kg,Black,Black,DC Comics
53,Atom II,Ray Palmer,10,33,45,40,60,Human,6'0,183 cm,180 lb,81 kg,Brown,Auburn,DC Comics
56,Aurora,Jeanne-Marie Beaubier,10,96,60,74,56,Mutant,5'11,180 cm,140 lb,63 kg,Blue,Black,Marvel Comics
57,Azazel,,11,47,95,100,80,Neyaphem,6'0,183 cm,149 lb,67 kg,Yellow,Black,Marvel Comics
58,Azrael,Michael Washington Lane,18,17,20,35,80,Human,-,0 cm,- lb,0 kg,Brown,Black,DC Comics
60,Bane,,38,23,56,51,95,Human,6'8,203 cm,400 lb,180 kg,-,-,DC Comics
61,Banshee,Sean Cassidy,10,58,40,63,70,Human,6'0,183 cm,170 lb,77 kg,Green,Strawberry Blond,Marvel Comics
62,Bantam,Roberto Velasquez,53,23,54,21,56,,5'5,165 cm,119 lb,54 kg,Brown,Black,Marvel Comics
63,Batgirl,Barbara Gordon,11,33,40,34,90,Human,5'7,170 cm,126 lb,57 kg,Green,Red,Oracle
66,Batgirl IV,Cassandra Cain,12,27,56,46,100,Human,5'5,165 cm,115 lb,52 kg,Green,Black,DC Comics
68,Batgirl VI,Stephanie Brown,10,23,28,22,80,,5'6,168 cm,135 lb,61 kg,Blue,Blond,Spoiler
69,Batman,Terry McGinnis,40,29,55,63,90,Human,5'10,178 cm,170 lb,77 kg,Blue,Black,DC Comics
70,Batman,Bruce Wayne,26,27,50,47,100,Human,6'2,188 cm,210 lb,95 kg,blue,black,DC Comics
71,Batman II,Dick Grayson,11,33,28,36,100,Human,5'10,178 cm,175 lb,79 kg,Blue,Black,Nightwing
72,Battlestar,Lemar Hoskins,53,35,74,48,74,,6'6,198 cm,295 lb,133 kg,Brown,Black,Marvel Comics
73,Batwoman V,Katherine Rebecca Kane,8,29,25,27,80,Human,5'10,178 cm,- lb,0 kg,Green,Red,DC Comics
75,Beast,Henry Philip McCoy,48,38,60,43,85,Mutant,5'11,180 cm,402 lb,181 kg,Blue,Blue,Marvel Comics
76,Beast Boy,Garfield Mark Logan,28,50,70,79,40,Human,5'8,173 cm,150 lb,68 kg,Green,Green,DC Comics
78,Ben 10,Benjamin Kirby Tennyson,7,8,10,90,40,,-,0 cm,- lb,0 kg,-,-,DC Comics
79,Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),80,35,95,100,84,,6'7,201 cm,480 lb,216 kg,-,No Hair,Marvel Comics
